,Team,Role_Name,Task_Name,Claim,Creation_Date,Due_Date,Days_Overdue
29,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200069702,2021-09-15 00:00:00,2021-12-31 00:00:00,13
30,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200072362,2021-12-16 00:00:00,2021-12-31 00:00:00,13
31,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200076009,2021-12-18 00:00:00,2022-01-04 00:00:00,9
32,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210001035,2021-11-08 00:00:00,2021-12-31 00:00:00,13
33,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210011575,2021-12-20 00:00:00,2022-01-05 00:00:00,8
34,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210021086,2021-10-27 00:00:00,2021-12-31 00:00:00,13
35,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210025163,2021-11-18 00:00:00,2021-12-31 00:00:00,13
36,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210030378,2021-12-24 00:00:00,2021-12-31 00:00:00,13
37,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210031953,2021-12-06 00:00:00,2022-01-05 00:00:00,8
38,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210032211,2021-11-11 00:00:00,2021-12-31 00:00:00,13
39,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210033333,2021-12-17 00:00:00,2022-01-07 00:00:00,6
40,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210037096,2021-12-22 00:00:00,2021-12-31 00:00:00,13
41,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210042421,2021-12-22 00:00:00,2022-01-05 00:00:00,8
42,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210042971,2021-12-16 00:00:00,2022-01-06 00:00:00,7
43,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210042971,2021-12-17 00:00:00,2022-01-07 00:00:00,6
44,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210045156,2022-01-07 00:00:00,2022-01-11 00:00:00,2
45,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08200064943,2021-11-30 00:00:00,2022-01-06 00:00:00,7
46,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210035357,2021-11-25 00:00:00,2022-01-04 00:00:00,9
47,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210039492,2021-12-07 00:00:00,2022-01-03 00:00:00,10
48,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210042421,2021-12-22 00:00:00,2022-01-06 00:00:00,7
49,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210042971,2021-12-16 00:00:00,2022-01-05 00:00:00,8
50,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210045156,2022-01-07 00:00:00,2022-01-11 00:00:00,2
51,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200024569,2021-12-07 00:00:00,2022-01-06 00:00:00,7
52,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200029593,2021-12-16 00:00:00,2021-12-31 00:00:00,13
53,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200040491,2021-10-18 00:00:00,2022-01-06 00:00:00,7
54,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200064943,2021-11-15 00:00:00,2022-01-06 00:00:00,7
55,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200064943,2021-12-07 00:00:00,2021-12-31 00:00:00,13
56,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200066912,2021-12-16 00:00:00,2021-12-31 00:00:00,13
57,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210001035,2021-12-30 00:00:00,2022-01-11 00:00:00,2
58,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210007754,2021-11-16 00:00:00,2022-01-07 00:00:00,6
59,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210011821,2021-10-20 00:00:00,2021-12-31 00:00:00,13
60,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210012927,2021-12-09 00:00:00,2021-12-31 00:00:00,13
61,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210035263,2021-12-16 00:00:00,2021-12-31 00:00:00,13
62,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210042421,2021-12-22 00:00:00,2022-01-05 00:00:00,8
63,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Current Weekly Earnings,08210030514,2022-01-13 00:00:00,2022-01-12 00:00:00,1
64,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08210045965,2022-01-12 00:00:00,2022-01-07 00:00:00,6
65,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08210045965,2022-01-13 00:00:00,2022-01-10 00:00:00,3
66,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08210046414,2022-01-13 00:00:00,2022-01-11 00:00:00,2
67,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210028539,2021-12-22 00:00:00,2022-01-07 00:00:00,6
68,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210041480,2021-12-18 00:00:00,2022-01-06 00:00:00,7
69,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210041480,2021-12-18 00:00:00,2022-01-06 00:00:00,7
70,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,GEN: 13 Week Reduction,08210028720,2021-12-18 00:00:00,2022-01-10 00:00:00,3
71,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Certificate Registered,08210018963,2022-01-10 00:00:00,2022-01-07 00:00:00,6
72,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Certificate Registered,08210023767,2022-01-13 00:00:00,2022-01-12 00:00:00,1
73,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Certificate Registered,08210026861,2022-01-12 00:00:00,2022-01-11 00:00:00,2
74,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Certificate Registered,08210027899,2022-01-13 00:00:00,2022-01-11 00:00:00,2
75,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Process Weekly Comp (Straight Through),08200064325,2022-01-07 00:00:00,2022-01-05 00:00:00,8
76,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Process Weekly Comp (Straight Through),08210018963,2022-01-05 00:00:00,2021-12-30 00:00:00,14
77,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Process Weekly Comp (Straight Through),08210039049,2022-01-05 00:00:00,2022-01-04 00:00:00,9
78,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Process Weekly Compensation Payment,08210024083,2021-12-22 00:00:00,2021-12-20 00:00:00,24
79,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08200062712,2022-01-11 00:00:00,2022-01-05 00:00:00,8
80,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210023767,2022-01-13 00:00:00,2022-01-12 00:00:00,1
81,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210038778,2021-12-30 00:00:00,2021-12-21 00:00:00,23
82,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210038778,2022-01-06 00:00:00,2021-12-24 00:00:00,20
83,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2021-12-30 00:00:00,2021-12-21 00:00:00,23
84,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-04 00:00:00,2021-12-22 00:00:00,22
85,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-04 00:00:00,2021-12-22 00:00:00,22
86,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-04 00:00:00,2021-12-22 00:00:00,22
87,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-04 00:00:00,2021-12-22 00:00:00,22
88,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-04 00:00:00,2021-12-23 00:00:00,21
89,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
90,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
91,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
92,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
93,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
94,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
95,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-05 00:00:00,2021-12-23 00:00:00,21
96,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-06 00:00:00,2021-12-24 00:00:00,20
97,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-06 00:00:00,2021-12-29 00:00:00,15
98,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-06 00:00:00,2021-12-29 00:00:00,15
99,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-06 00:00:00,2021-12-29 00:00:00,15
100,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Investigation,08210038778,2022-01-07 00:00:00,2021-12-30 00:00:00,14
101,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical Reports,08210038778,2022-01-06 00:00:00,2021-12-24 00:00:00,20
102,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical Reports,08210038778,2022-01-12 00:00:00,2022-01-10 00:00:00,3
103,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,04200039567,2021-11-05 00:00:00,2021-11-05 00:00:00,69
104,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08200065764,2021-12-13 00:00:00,2021-12-10 00:00:00,34
105,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08210026861,2022-01-11 00:00:00,2022-01-11 00:00:00,2
106,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08210026861,2022-01-13 00:00:00,2022-01-11 00:00:00,2
107,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08210034688,2022-01-10 00:00:00,2022-01-07 00:00:00,6
108,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08210038778,2022-01-07 00:00:00,2022-01-06 00:00:00,7
109,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08210038778,2022-01-12 00:00:00,2022-01-12 00:00:00,1
110,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: RTW and Rehabilitation,08200026075,2022-01-12 00:00:00,2022-01-11 00:00:00,2
111,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: RTW and Rehabilitation,08210038778,2021-12-22 00:00:00,2021-12-21 00:00:00,23
112,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,04200039567,2022-01-06 00:00:00,2022-01-05 00:00:00,8
113,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,04200039567,2022-01-06 00:00:00,2022-01-05 00:00:00,8
114,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,04200039567,2022-01-11 00:00:00,2022-01-05 00:00:00,8
115,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,04200039567,2022-01-11 00:00:00,2022-01-05 00:00:00,8
116,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08200062806,2021-12-31 00:00:00,2021-12-31 00:00:00,13
117,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08210037009,2022-01-04 00:00:00,2021-12-22 00:00:00,22
118,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,ELG: Notify worker reached 10 of 13 weeks,08210031649,2021-11-23 00:00:00,2022-01-07 00:00:00,6
119,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,GEN: Complete Handover Activities,08210044704,2022-01-04 00:00:00,2022-01-07 00:00:00,6
120,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,GEN: Make Weekly Payments,08210042146,2021-12-23 00:00:00,2021-12-27 00:00:00,17
121,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,GEN: Send PIAWE Confirmation Letters,08210042146,2021-12-23 00:00:00,2021-12-24 00:00:00,20
122,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,II: Incremental Increase Review,08210017414,2021-09-07 00:00:00,2022-01-03 00:00:00,10
123,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,INV: Medical Practitioner,08200062806,2021-12-20 00:00:00,2021-12-17 00:00:00,27
124,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,INV: Worker Reimbursement,08160063770,2022-01-05 00:00:00,2022-01-04 00:00:00,9
125,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,MSR: Send Letters - M&L Service Request Approved,08210038778,2022-01-05 00:00:00,2022-01-05 00:00:00,8
126,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,OR: Confirm OR Service Details,04200039567,2021-11-25 00:00:00,2021-12-30 00:00:00,14
127,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,RTW: Review Elapsed Obligation Period Estimate,08200080574,2021-12-25 00:00:00,2022-01-03 00:00:00,10
128,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,RTW: Review Elapsed Obligation Period Estimate,08210001679,2022-01-04 00:00:00,2022-01-11 00:00:00,2
129,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,SIP: Seek Information from Provider,04200039567,2021-09-09 00:00:00,2021-11-02 00:00:00,72
130,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200064325,2021-12-22 00:00:00,2021-12-29 00:00:00,15
131,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200080231,2021-11-15 00:00:00,2022-01-07 00:00:00,6
132,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210005510,2021-10-20 00:00:00,2022-01-07 00:00:00,6
133,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210005510,2021-12-21 00:00:00,2022-01-05 00:00:00,8
134,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210012367,2021-11-15 00:00:00,2021-12-20 00:00:00,24
135,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210023767,2021-12-14 00:00:00,2022-01-07 00:00:00,6
136,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210027899,2021-12-18 00:00:00,2022-01-04 00:00:00,9
137,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210034688,2021-11-29 00:00:00,2022-01-07 00:00:00,6
138,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210037009,2021-12-02 00:00:00,2022-01-07 00:00:00,6
139,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210038778,2021-12-30 00:00:00,2022-01-06 00:00:00,7
140,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210042146,2021-12-18 00:00:00,2021-12-22 00:00:00,22
141,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08210042308,2021-12-18 00:00:00,2021-12-22 00:00:00,22
142,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210038778,2021-12-30 00:00:00,2022-01-04 00:00:00,9
143,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210038781,2021-12-07 00:00:00,2021-12-23 00:00:00,21
144,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210042146,2021-12-18 00:00:00,2021-12-22 00:00:00,22
145,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Worker,08210042308,2021-12-18 00:00:00,2021-12-22 00:00:00,22
146,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,04190098375,2021-09-21 00:00:00,2022-01-07 00:00:00,6
147,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200026075,2021-12-16 00:00:00,2022-01-07 00:00:00,6
148,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200036007,2021-03-25 00:00:00,2021-12-17 00:00:00,27
149,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200057785,2021-08-31 00:00:00,2021-12-24 00:00:00,20
150,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200061836,2021-11-03 00:00:00,2021-12-30 00:00:00,14
151,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200062712,2021-11-16 00:00:00,2021-12-20 00:00:00,24
152,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200064231,2021-08-31 00:00:00,2022-01-05 00:00:00,8
153,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200064325,2021-11-16 00:00:00,2022-01-07 00:00:00,6
154,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200065764,2021-11-24 00:00:00,2022-01-07 00:00:00,6
155,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08200078900,2021-10-06 00:00:00,2022-01-07 00:00:00,6
156,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210011449,2021-11-16 00:00:00,2022-01-04 00:00:00,9
157,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210024083,2021-12-13 00:00:00,2021-12-24 00:00:00,20
158,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210026515,2021-11-13 00:00:00,2021-12-24 00:00:00,20
159,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210038778,2021-12-30 00:00:00,2022-01-06 00:00:00,7
160,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210039049,2021-12-16 00:00:00,2022-01-07 00:00:00,6
161,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,08210044704,2021-12-22 00:00:00,2022-01-11 00:00:00,2
162,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,USR: Other Task,11870006069,2021-12-23 00:00:00,2021-12-30 00:00:00,14
163,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Certificate Registered,08210016923,2021-12-31 00:00:00,2021-12-24 00:00:00,20
164,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,CRT: Query Certificate,08210044270,2022-01-05 00:00:00,2022-01-07 00:00:00,6
165,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210026748,2022-01-13 00:00:00,2022-01-11 00:00:00,2
166,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210026748,2022-01-13 00:00:00,2022-01-11 00:00:00,2
167,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08210036288,2021-11-29 00:00:00,2021-11-26 00:00:00,48
168,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,DOC: Weekly Payments,08210044270,2022-01-11 00:00:00,2022-01-05 00:00:00,8
169,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,INV: Employer Liability,08200065382,2021-12-21 00:00:00,2021-12-21 00:00:00,23
170,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,INV: Employer Liability,08200065382,2021-12-23 00:00:00,2021-12-23 00:00:00,21
171,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,INV: Employer Liability,08210026748,2021-12-20 00:00:00,2021-12-20 00:00:00,24
172,A1,10618_RETURN TO WORK CLAIMS PROCESSOR,OR: Review Work Report,08210026748,2021-12-21 00:00:00,2022-01-04 00:00:00,9
173,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,ADV: Notify Parties of Adverse Decision,04200040459,2022-01-10 00:00:00,2022-01-11 00:00:00,2
174,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,ADV: Notify Parties of Adverse Decision,08210028254,2022-01-10 00:00:00,2022-01-11 00:00:00,2
175,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,ADV: Notify Parties of Adverse Decision,08210040339,2022-01-10 00:00:00,2022-01-11 00:00:00,2
176,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,ADV: Prepare Adverse Decision Letter,04190065065,2022-01-10 00:00:00,2022-01-12 00:00:00,1
177,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,ADV: Prepare Adverse Decision Letter,08210033715,2022-01-05 00:00:00,2022-01-07 00:00:00,6
178,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Certificate Registered,04200040459,2022-01-10 00:00:00,2022-01-10 00:00:00,3
179,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Certificate Registered,08200041351,2022-01-13 00:00:00,2022-01-11 00:00:00,2
180,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Certificate Registered,08210032596,2022-01-13 00:00:00,2022-01-11 00:00:00,2
181,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Process Weekly Comp (Straight Through),08200030058,2022-01-10 00:00:00,2022-01-06 00:00:00,7
182,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Process Weekly Comp (Straight Through),08210039777,2022-01-12 00:00:00,2022-01-10 00:00:00,3
183,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Query Certificate,04200040459,2022-01-06 00:00:00,2022-01-10 00:00:00,3
184,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Query Certificate,04200040459,2022-01-07 00:00:00,2022-01-11 00:00:00,2
185,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Query Certificate,04200058302,2022-01-07 00:00:00,2022-01-11 00:00:00,2
186,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Query Certificate,08210030543,2022-01-11 00:00:00,2022-01-13 00:00:00,0
187,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,CRT: Review Certificate Of Capacity,08210030543,2022-01-12 00:00:00,2022-01-13 00:00:00,0
188,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,DOC: Current Weekly Earnings,04200054720,2021-12-08 00:00:00,2021-12-06 00:00:00,38
189,A1,BUBIS MARCUS_8267_RETURN TO WORK CASE MANAGER,DOC: Medical and Like,04190065065,2022-01-06 00:00:00,2022-01-06 00:00:00,7
